Student_ID,Student_Name,Total_Days,Days_Present,Attendance,Attendance_Marks,Internal_Marks,Assignment_Marks,Study_Hours,Previous_Results,Previous_Grade,Pass_Fail,Performance,Performance_Label,Next_Exam_Marks
STUD1000,Riya Patel,218,167,76.61,4.04,44.53,8.29,6.16,70.1,First Class,Pass,1,Good,100.0
STUD1001,Aarav Verma,208,113,54.33,2.74,29.68,1.71,2.33,30.5,Fail,Fail,0,Poor,38.3
STUD1002,Aditya Nair,194,178,91.75,4.72,33.96,19.94,0.24,22.6,Fail,Fail,1,Average,72.59
STUD1003,Vikram Patel,187,123,65.78,3.26,39.46,10.04,8.7,93.67,Distinction,Pass,1,Good,100.0
STUD1004,Meera Nair,200,119,59.5,2.83,24.92,11.91,0.21,69.33,Fail,Pass,1,Good,77.53
STUD1005,Isha Kapoor,218,113,51.83,2.65,4.35,1.34,8.75,83.72,First Class,Pass,0,Good,75.42
STUD1006,Meera Kapoor,198,157,79.29,4.23,26.86,15.0,5.29,58.52,Second Class,Pass,1,Good,100.0
STUD1007,Kavya Gupta,202,169,83.66,4.04,29.34,4.2,9.39,29.38,Fail,Fail,0,Good,82.86
STUD1008,Aarav Sharma,190,97,51.05,2.37,37.27,17.96,7.99,30.01,Fail,Fail,1,Average,72.81
STUD1009,Nivedita Singh,190,144,75.79,3.68,21.58,4.1,9.98,74.85,First Class,Pass,1,Good,96.34
STUD1010,Arjun Singh,203,124,61.08,3.34,6.38,3.81,3.51,54.42,Second Class,Pass,0,Average,71.89
STUD1011,Sana Nair,215,177,82.33,4.55,14.19,0.73,7.67,36.04,Fail,Fail,0,Average,65.14
STUD1012,Aditi Patel,219,129,58.9,3.05,18.15,9.44,4.02,59.33,Second Class,Pass,0,Good,80.4
STUD1013,Karan Mehta,203,172,84.73,4.41,32.3,11.3,4.8,25.14,Fail,Fail,0,Average,74.21
STUD1014,Aarav Mehta,182,126,69.23,3.27,28.54,1.31,6.28,66.56,Second Class,Pass,1,Good,82.7
STUD1015,Arjun Mehta,201,195,97.01,5.0,17.8,15.51,8.74,41.52,Pass,Pass,1,Good,100.0
STUD1016,Sai Mehta,181,103,56.91,3.01,49.33,9.07,9.84,83.8,First Class,Pass,1,Good,97.82
STUD1017,Aditya Gupta,203,136,67.0,3.14,30.29,10.49,7.68,44.83,Pass,Pass,1,Good,99.01
STUD1018,Aditi Kumar,209,116,55.5,2.24,11.86,8.82,4.18,56.42,Second Class,Pass,0,Average,66.05
STUD1019,Kavya Gupta,217,209,96.31,4.45,5.09,8.02,4.21,20.93,Fail,Fail,0,Average,65.47
STUD1020,Karan Iyer,181,170,93.92,4.5,7.64,11.19,7.38,25.8,Fail,Fail,0,Good,85.59
STUD1021,Karan Patel,200,126,63.0,3.5,12.3,3.1,2.39,51.4,Second Class,Pass,0,Average,71.88
STUD1022,Vikram Mehta,212,176,83.02,4.62,8.03,3.64,1.1,58.4,Second Class,Pass,0,Average,70.49
STUD1023,Nivedita Sharma,191,174,91.1,4.42,9.33,17.24,3.55,68.0,Second Class,Pass,1,Good,100.0
STUD1024,Parth Mehta,201,156,77.61,3.76,14.25,18.92,2.87,43.33,Pass,Pass,1,Good,96.95
STUD1025,Riya Sharma,204,156,76.47,3.9,8.67,7.47,2.96,75.6,First Class,Pass,0,Good,86.66
STUD1026,Ananya Nair,206,128,62.14,3.11,44.84,5.41,2.34,88.81,Distinction,Pass,1,Good,81.81
STUD1027,Parth Singh,207,113,54.59,3.01,4.01,12.88,0.42,82.39,First Class,Pass,0,Average,71.85
STUD1028,Nivedita Mehta,195,185,94.87,4.59,26.23,8.17,0.18,23.17,Fail,Fail,0,Average,60.59
STUD1029,Aarav Sharma,194,184,94.85,5.0,20.52,0.51,9.88,58.44,Second Class,Pass,1,Good,100.0
STUD1030,Meera Iyer,182,149,81.87,4.02,49.12,3.12,4.28,28.39,Fail,Fail,1,Average,63.09
STUD1031,Ananya Kumar,216,145,67.13,3.61,5.6,14.32,3.84,39.36,Fail,Fail,0,Average,55.21
STUD1032,Aditya Iyer,186,125,67.2,3.28,19.89,13.18,6.8,98.93,Distinction,Pass,1,Good,100.0
STUD1033,Isha Nair,200,173,86.5,4.14,48.47,0.54,2.18,31.4,Fail,Fail,0,Average,65.34
STUD1034,Aditi Mehta,188,178,94.68,5.0,43.28,4.44,9.5,59.91,Second Class,Pass,1,Good,100.0
STUD1035,Rohan Singh,218,206,94.5,5.0,40.85,4.62,7.86,69.45,Fail,Pass,1,Good,100.0
STUD1036,Isha Patel,197,175,88.83,3.9,12.9,13.44,0.89,76.2,First Class,Pass,0,Good,92.8
STUD1037,Karan Singh,183,150,81.97,3.96,8.54,0.39,4.18,64.77,Second Class,Pass,0,Good,85.74
STUD1038,Ananya Singh,204,111,54.41,3.08,33.43,2.08,8.79,20.78,Fail,Fail,0,Average,62.49
STUD1039,Aditi Singh,193,112,58.03,2.54,46.47,16.0,9.45,46.12,Pass,Pass,1,Good,100.0
STUD1040,Riya Gupta,188,178,94.68,4.97,27.84,3.57,4.67,61.42,Second Class,Pass,1,Good,94.57
STUD1041,Riya Verma,205,165,80.49,4.22,28.58,13.05,6.13,27.03,Fail,Fail,1,Good,91.48
STUD1042,Karan Patel,181,91,50.28,2.3,14.0,4.76,1.67,48.05,Pass,Pass,0,Average,51.9
STUD1043,Ananya Singh,199,110,55.28,2.76,38.47,1.99,9.91,22.66,Fail,Fail,1,Average,60.7
STUD1044,Aditya Verma,207,172,83.09,3.53,9.35,4.86,2.32,26.29,Fail,Fail,0,Poor,49.78
STUD1045,Arjun Singh,186,93,50.0,3.03,16.18,14.45,9.43,51.75,Second Class,Pass,1,Good,93.24
STUD1046,Riya Mehta,187,109,58.29,2.82,21.27,17.11,6.5,30.62,Fail,Fail,0,Good,76.74
STUD1047,Priya Iyer,214,166,77.57,4.12,25.38,16.6,6.08,65.4,Second Class,Pass,1,Good,100.0
STUD1048,Riya Gupta,193,163,84.46,4.41,12.12,7.94,5.13,75.16,First Class,Pass,1,Good,97.6
STUD1049,Sai Kumar,196,162,82.65,4.54,5.74,13.36,2.31,84.05,Fail,Pass,0,Good,95.68
STUD1050,Nivedita Patel,215,132,61.4,2.94,30.53,4.1,1.77,36.01,Fail,Fail,0,Poor,46.56
STUD1051,Kavya Gupta,219,187,85.39,4.33,14.43,5.86,2.2,33.4,Fail,Fail,0,Average,54.45
STUD1052,Arjun Singh,183,113,61.75,3.26,29.06,17.93,1.86,28.37,Fail,Fail,0,Average,74.16
STUD1053,Isha Iyer,181,120,66.3,3.58,7.72,0.26,7.8,70.91,First Class,Pass,1,Good,80.24
STUD1054,Isha Nair,185,162,87.57,4.72,24.06,1.71,3.5,76.52,First Class,Pass,0,Good,87.17
STUD1055,Priya Patel,183,151,82.51,3.98,26.63,4.16,0.58,22.53,Fail,Fail,0,Average,68.98
STUD1056,Aditi Sharma,208,192,92.31,4.42,2.59,0.53,9.69,94.9,Distinction,Pass,1,Good,100.0
STUD1057,Sai Gupta,197,163,82.74,4.55,16.83,3.63,8.84,24.16,Fail,Fail,0,Average,73.84
STUD1058,Aditya Verma,205,161,78.54,3.32,6.72,11.66,9.28,63.3,Second Class,Pass,1,Good,98.39
STUD1059,Ananya Nair,213,116,54.46,3.19,3.17,8.43,9.95,76.72,First Class,Pass,1,Good,99.55
STUD1060,Parth Verma,189,129,68.25,3.32,49.5,17.85,1.74,89.68,Distinction,Pass,1,Good,100.0
STUD1061,Meera Nair,215,136,63.26,3.16,16.12,16.35,3.96,77.13,First Class,Pass,1,Good,86.26
STUD1062,Riya Kapoor,193,120,62.18,2.9,40.49,6.84,7.58,84.14,Fail,Pass,1,Good,98.89
STUD1063,Priya Gupta,210,207,98.57,4.91,12.73,5.19,6.96,47.16,Pass,Pass,0,Good,95.04
STUD1064,Priya Kumar,194,135,69.59,3.86,34.08,7.59,1.54,85.19,Distinction,Pass,1,Good,95.05
STUD1065,Parth Kumar,187,177,94.65,4.96,38.01,11.81,8.16,26.41,Fail,Fail,1,Good,100.0
STUD1066,Aarav Kapoor,193,157,81.35,4.22,29.78,5.36,2.24,91.59,Distinction,Pass,1,Good,87.0
STUD1067,Sai Nair,202,181,89.6,4.51,23.58,12.48,2.24,63.81,Second Class,Pass,1,Good,100.0
STUD1068,Riya Verma,219,165,75.34,3.33,20.59,8.19,5.37,85.38,Distinction,Pass,1,Good,91.51
STUD1069,Sana Nair,200,158,79.0,3.7,17.44,11.04,5.93,56.19,Second Class,Pass,1,Good,98.7
STUD1070,Sana Nair,195,146,74.87,3.64,46.48,8.72,5.8,71.49,First Class,Pass,1,Good,100.0
STUD1071,Riya Kapoor,197,118,59.9,3.13,41.53,5.89,0.91,62.11,Second Class,Pass,1,Average,67.56
STUD1072,Arjun Sharma,203,175,86.21,4.33,48.25,18.97,8.77,78.53,First Class,Pass,1,Good,100.0
STUD1073,Nisha Gupta,205,131,63.9,3.49,6.21,15.27,2.66,26.53,Fail,Fail,0,Average,69.45
STUD1074,Vikram Kapoor,204,104,50.98,2.69,36.54,2.8,1.3,24.83,Fail,Fail,0,Poor,38.76
STUD1075,Nivedita Gupta,220,181,82.27,4.13,46.92,17.37,8.89,39.77,Fail,Fail,1,Good,100.0
STUD1076,Parth Nair,208,122,58.65,3.62,9.06,9.75,9.56,32.76,Fail,Fail,0,Average,72.4
STUD1077,Vikram Iyer,194,188,96.91,4.97,3.32,17.89,8.62,89.74,Distinction,Pass,1,Good,100.0
STUD1078,Priya Nair,180,176,97.78,4.76,37.06,16.0,8.1,37.54,Fail,Fail,1,Good,100.0
STUD1079,Aarav Verma,204,195,95.59,5.0,28.72,8.5,6.55,98.07,Distinction,Pass,1,Good,100.0
STUD1080,Vikram Singh,186,127,68.28,3.77,42.09,0.45,5.51,46.95,Pass,Pass,1,Good,80.34
STUD1081,Riya Sharma,188,95,50.53,3.07,6.99,5.37,0.87,34.57,Fail,Fail,0,Poor,47.57
STUD1082,Rohan Patel,203,196,96.55,4.79,39.76,10.83,4.08,83.18,First Class,Pass,1,Good,100.0
STUD1083,Aarav Verma,180,129,71.67,3.88,10.08,12.67,3.73,72.7,First Class,Pass,0,Good,94.22
STUD1084,Meera Kumar,187,184,98.4,4.48,8.18,5.16,2.6,59.86,Second Class,Pass,0,Good,78.76
STUD1085,Arjun Singh,203,199,98.03,5.0,8.21,2.79,7.23,64.43,Second Class,Pass,0,Good,100.0
STUD1086,Riya Iyer,190,176,92.63,4.58,40.73,16.7,4.96,77.54,First Class,Pass,1,Good,100.0
STUD1087,Parth Nair,196,127,64.8,2.83,33.26,19.69,0.81,38.28,Fail,Fail,1,Average,74.49
STUD1088,Sana Mehta,187,130,69.52,3.79,26.15,10.51,2.2,99.71,Distinction,Pass,1,Good,98.02
STUD1089,Aditi Iyer,214,198,92.52,4.08,17.94,3.43,6.83,97.98,Distinction,Pass,1,Good,100.0
STUD1090,Parth Singh,214,141,65.89,2.72,43.86,5.45,0.76,72.03,First Class,Pass,1,Average,73.95
STUD1091,Vikram Iyer,212,124,58.49,3.03,19.62,0.37,8.51,35.96,Fail,Fail,0,Average,60.45
STUD1092,Riya Kumar,184,143,77.72,4.06,40.83,18.29,4.95,74.42,First Class,Pass,1,Good,100.0
STUD1093,Parth Mehta,218,211,96.79,5.0,21.96,2.36,4.81,25.78,Fail,Fail,1,Average,70.08
STUD1094,Meera Verma,220,187,85.0,4.47,18.85,11.53,5.92,22.45,Fail,Fail,0,Good,82.95
STUD1095,Kavya Iyer,207,163,78.74,4.38,23.13,5.48,8.25,40.61,Pass,Pass,0,Good,94.73
STUD1096,Priya Nair,186,102,54.84,2.95,15.07,11.08,3.48,57.01,Second Class,Pass,0,Good,78.08
STUD1097,Karan Nair,188,152,80.85,4.0,37.38,13.03,6.78,89.46,Distinction,Pass,1,Good,100.0
STUD1098,Parth Gupta,187,186,99.47,4.95,25.14,16.59,5.66,78.17,First Class,Pass,1,Good,100.0
STUD1099,Isha Singh,191,109,57.07,2.77,11.61,4.13,2.67,79.42,First Class,Pass,0,Average,72.5
STUD1100,Aarav Gupta,213,162,76.06,3.89,44.98,0.22,8.79,54.04,Second Class,Pass,1,Good,99.92
STUD1101,Rohan Mehta,212,199,93.87,4.36,19.19,2.74,7.97,47.67,Pass,Pass,0,Good,93.62
STUD1102,Isha Sharma,202,176,87.13,4.46,27.18,18.0,6.58,49.68,Fail,Pass,1,Good,100.0
STUD1103,Karan Mehta,203,172,84.73,4.21,45.32,17.48,8.51,99.01,Distinction,Pass,1,Good,100.0
STUD1104,Parth Gupta,216,184,85.19,4.34,31.21,11.95,8.67,23.21,Fail,Fail,1,Good,98.24
STUD1105,Sai Sharma,214,145,67.76,3.47,5.84,12.01,7.08,89.36,Distinction,Pass,1,Good,98.43
STUD1106,Aditi Singh,219,142,64.84,2.51,46.99,13.3,8.37,66.29,Second Class,Pass,1,Good,97.1
STUD1107,Ananya Singh,201,182,90.55,4.26,31.39,3.51,6.97,55.09,Second Class,Pass,1,Good,92.96
STUD1108,Isha Kumar,206,186,90.29,4.48,16.75,18.29,6.8,78.02,First Class,Pass,1,Good,100.0
STUD1109,Isha Patel,214,200,93.46,4.66,6.96,8.38,6.19,58.93,Second Class,Pass,1,Good,100.0
STUD1110,Rohan Kumar,180,172,95.56,4.86,39.7,7.66,7.53,89.87,Distinction,Pass,1,Good,100.0
STUD1111,Ananya Nair,214,162,75.7,3.88,31.0,10.38,1.59,92.06,Distinction,Pass,1,Good,89.92
STUD1112,Rohan Kumar,216,162,75.0,4.2,26.67,0.94,8.81,53.74,Second Class,Pass,1,Good,90.19
STUD1113,Karan Patel,193,174,90.16,4.6,44.69,3.33,8.72,42.15,Pass,Pass,1,Good,98.84
STUD1114,Ananya Patel,182,150,82.42,4.03,39.43,14.76,0.29,67.39,Second Class,Pass,1,Good,100.0
STUD1115,Karan Sharma,180,153,85.0,3.77,7.58,1.66,8.26,92.99,Distinction,Pass,1,Good,91.14
STUD1116,Rohan Patel,184,165,89.67,4.07,15.59,12.06,1.29,36.85,Fail,Fail,0,Average,74.83
STUD1117,Isha Kapoor,205,194,94.63,4.89,12.42,4.91,3.35,69.84,Fail,Pass,1,Good,98.61
STUD1118,Ananya Nair,193,129,66.84,3.66,37.2,7.79,7.44,70.52,First Class,Pass,1,Good,100.0
STUD1119,Priya Singh,218,150,68.81,3.9,1.68,5.77,1.61,78.65,First Class,Pass,0,Average,72.2
STUD1120,Sai Mehta,206,113,54.85,2.49,28.49,7.11,8.18,30.53,Fail,Fail,0,Average,66.47
STUD1121,Arjun Nair,188,148,78.72,3.84,38.12,14.38,8.32,77.27,First Class,Pass,1,Good,100.0
STUD1122,Arjun Sharma,194,100,51.55,2.65,43.84,5.94,5.07,92.72,Distinction,Pass,1,Good,79.95
STUD1123,Arjun Kapoor,194,142,73.2,4.27,17.1,11.33,0.06,34.37,Fail,Fail,0,Average,64.28
STUD1124,Isha Iyer,205,158,77.07,3.89,41.06,9.52,2.87,39.0,Fail,Fail,1,Average,66.34
STUD1125,Arjun Verma,192,124,64.58,3.69,5.53,13.27,6.17,97.71,Distinction,Pass,1,Good,100.0
STUD1126,Nivedita Kapoor,211,168,79.62,4.03,42.32,18.74,9.81,34.48,Fail,Fail,1,Good,100.0
STUD1127,Nisha Gupta,218,112,51.38,2.91,6.37,14.65,6.32,88.35,Distinction,Pass,0,Good,94.18
STUD1128,Isha Kapoor,211,109,51.66,2.89,19.86,4.3,2.6,59.38,Second Class,Pass,0,Average,66.58
STUD1129,Ananya Sharma,183,167,91.26,4.61,39.86,0.62,6.34,39.78,Fail,Fail,1,Good,75.12
STUD1130,Isha Kumar,209,142,67.94,3.09,7.5,5.25,5.4,89.66,Distinction,Pass,0,Good,84.27
STUD1131,Vikram Kapoor,216,122,56.48,2.74,11.46,11.9,7.8,55.62,Second Class,Pass,1,Good,85.79
STUD1132,Parth Sharma,202,154,76.24,4.26,36.11,1.03,1.07,61.19,Second Class,Pass,0,Good,79.25
STUD1133,Arjun Kumar,218,193,88.53,4.69,36.0,9.93,7.61,48.74,Pass,Pass,1,Good,100.0
STUD1134,Isha Patel,194,118,60.82,2.91,32.06,11.94,5.41,67.44,Second Class,Pass,1,Good,91.3
STUD1135,Kavya Gupta,208,169,81.25,3.96,34.7,6.68,9.63,33.08,Fail,Fail,1,Good,95.29
STUD1136,Aarav Verma,215,117,54.42,2.2,27.14,15.42,3.42,51.29,Second Class,Pass,1,Average,74.75
STUD1137,Vikram Patel,192,101,52.6,3.06,12.59,2.13,6.33,97.55,Distinction,Pass,1,Good,75.53
STUD1138,Sana Singh,211,162,76.78,4.1,17.28,1.5,9.32,40.65,Pass,Pass,1,Good,91.95
STUD1139,Aditi Mehta,186,143,76.88,3.8,9.08,14.56,1.03,72.54,First Class,Pass,0,Good,88.2
STUD1140,Sana Sharma,201,165,82.09,4.16,45.42,9.91,9.37,46.02,Pass,Pass,1,Good,100.0
STUD1141,Aditya Iyer,207,179,86.47,3.67,29.17,13.77,6.88,81.88,First Class,Pass,1,Good,100.0
STUD1142,Isha Verma,181,179,98.9,4.8,20.04,8.7,0.68,30.47,Fail,Fail,0,Average,72.22
STUD1143,Priya Patel,185,140,75.68,4.18,23.1,4.93,3.01,97.59,Distinction,Pass,1,Good,94.45
STUD1144,Karan Iyer,207,137,66.18,3.6,47.36,16.38,7.08,56.3,Second Class,Pass,1,Good,100.0
STUD1145,Aditya Kumar,207,186,89.86,4.59,7.67,15.99,0.67,38.88,Fail,Fail,0,Average,74.09
STUD1146,Nisha Gupta,199,126,63.32,3.16,29.31,13.89,5.82,25.88,Fail,Fail,1,Good,77.28
STUD1147,Riya Sharma,209,150,71.77,3.83,25.29,5.44,3.46,33.58,Fail,Fail,0,Average,71.11
STUD1148,Riya Kumar,190,102,53.68,2.6,30.57,11.8,6.21,61.58,Second Class,Pass,1,Good,87.01
STUD1149,Vikram Iyer,207,106,51.21,2.06,0.91,7.22,0.46,46.96,Pass,Pass,0,Poor,45.58
STUD1150,Riya Kumar,204,200,98.04,4.9,43.61,1.83,8.72,86.31,Distinction,Pass,1,Good,100.0
STUD1151,Rohan Verma,218,200,91.74,4.71,46.61,18.35,9.73,54.47,Second Class,Pass,1,Good,100.0
STUD1152,Isha Mehta,212,180,84.91,4.58,28.26,2.74,9.69,39.9,Fail,Fail,0,Average,73.98
STUD1153,Riya Singh,180,127,70.56,3.1,34.83,19.0,7.5,69.37,Fail,Pass,1,Good,100.0
